name,handedness,height,weight,avg,HR
Tom Brown,Right Handed, 73, 170, 0.0, 0
Denny Lemaster,Right Handed, 73, 182, 0.130, 4
Joe Nolan,Left Handed, 71, 175, 0.263, 27
Denny Doyle,Left Handed, 69, 175, 0.250, 16
Jose Cardenal,Right Handed, 70, 150, 0.275, 138
Mike Ryan,Right Handed, 74, 205, 0.193, 28
Fritz Peterson,Both Handed, 72, 185, 0.159, 2
Dick Bertell,Right Handed, 72, 200, 0.250, 10
Rod Kanehl,Right Handed, 73, 180, 0.241, 6
Ozzie Osborn,Right Handed, 74, 195, 0.0, 0
John LaRose,Left Handed, 73, 185, 0.0, 0
Jeff Byrd,Right Handed, 75, 195, 0.0, 0
Juan Bonilla,Right Handed, 69, 170, 0.256, 7
Frank Tepedino,Left Handed, 71, 185, 0.241, 6
Jerry Kutzler,Left Handed, 73, 175, 0.0, 0
Rick Wise,Right Handed, 73, 180, 0.195, 15
Darrell Evans,Left Handed, 74, 200, 0.248, 414
Buck Martinez,Right Handed, 70, 190, 0.225, 58
John Wockenfuss,Right Handed, 72, 190, 0.262, 86
Tommy McCraw,Left Handed, 72, 183, 0.246, 75
Jeff Barkley,Both Handed, 75, 185, 0.0, 0
Eric Wilkins,Right Handed, 73, 190, 0.0, 0
Britt Burns,Left Handed, 77, 215, 0.0, 0
Lee Lacy,Right Handed, 73, 175, 0.286, 91
Pete Rose,Both Handed, 71, 192, 0.303, 160
Danny Walton,Right Handed, 72, 195, 0.223, 28
Bobby Cox,Right Handed, 71, 180, 0.225, 9
Brad Wellman,Right Handed, 72, 170, 0.231, 6
Jeff Newman,Right Handed, 74, 215, 0.224, 63
Pedro Gonzalez,Right Handed, 72, 176, 0.244, 8
Nardi Contreras,Both Handed, 74, 193, 0.0, 0
Tommie Reynolds,Right Handed, 74, 190, 0.226, 12
Gene Clines,Right Handed, 69, 170, 0.277, 5
Jim Hickman,Right Handed, 75, 192, 0.252, 159
Jack Billingham,Right Handed, 76, 195, 0.111, 0
Jerry Buchek,Right Handed, 71, 185, 0.220, 22
Ivan DeJesus,Right Handed, 71, 175, 0.254, 21
Gary Nolan,Right Handed, 74, 197, 0.138, 1
Gil Patterson,Right Handed, 73, 185, 0.0, 0
Fred Whitfield,Left Handed, 73, 190, 0.253, 108
Larry Dierker,Right Handed, 76, 215, 0.136, 4
